id,var.names,auc,type,cluster
6,fathmm_xf,0.876901102,A,1
9,mutationtaster,0.769027789,A,1
10,lrt,0.815868002,A,1
12,fathmm_mkl,0.761108205,A,1
1,vest4,0.939318956,A,2
2,provean,0.89282074,A,2
3,deogen2,0.937900673,A,2
4,sift4g,0.895486307,A,2
5,sift,0.886862611,A,2
7,polyphen2,0.863804619,A,2
8,mutationassessor,0.830778413,A,2
13,fathmm,0.765249054,A,3
15,phylo100way,0.80924935,B,1
17,gerp,0.714666989,B,1
18,siphy_29way,0.731756793,B,1
19,phastcons_100way,0.697506773,B,1
22,phylo30way,0.66781001,B,1
14,primateai,0.856508677,B,2
16,list_s2,0.814520131,B,3
20,phastcons_30way,0.708946917,B,3
21,phastcons_p17way,0.719243717,B,3
23,phylo17way,0.647239881,B,3
24,bstatistic,0.537143585,B,3
35,genocanyon,0.632906172,C,1
25,clinpred,0.95824951,C,2
30,m_cap,0.909575253,C,2
31,eigen_pc,0.869300046,C,2
26,bayesdel,0.95796116,C,3
27,revel,0.947996298,C,3
28,mutpred,0.927489874,C,3
29,mvp,0.930651672,C,3
32,metasvm,0.866510421,C,3
33,metalr,0.858077841,C,3
34,dann,0.749601003,C,3